record_id,airport_name,altitude_bin,aircraft_model,wildlife_number_struck_actual,effect_impact_to_flight,flight_date,effect_indicated_damage,aircraft_airline,origin_state,phase_of_flight,conditions_precipitation,conditions_sky,wildlife_species,pilot_warned_of_wildlife,total_cost,feet_above_ground
231208,AMARILLO INTL,< 1000 ft,B-737-300,1,none,2004-10-10,No damage,SOUTHWEST AIRLINES,Texas,Take-off run,none,Overcast,Unknown bird - small,N,0,0.0
230508,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,MD-83,1,none,2004-10-10,No damage,AMERICAN AIRLINES,Florida,Climb,none,Some Cloud,Unknown bird - small,Y,0,200.0
231303,CHARLOTTE/DOUGLAS INTL ARPT,> 1000 ft,B-737-300,1,none,2004-10-10,No damage,US AIRWAYS,North Carolina,Climb,none,Overcast,Unknown bird - large,N,0,4800.0
236790,CHARLOTTE/DOUGLAS INTL ARPT,> 1000 ft,B-737-400,1,none,2004-10-10,No damage,US AIRWAYS,North Carolina,Approach,none,No Cloud,Unknown bird - small,N,0,4000.0
240923,GROTON-NEW LONDON AR,< 1000 ft,PA-28,1,none,2004-10-10,No damage,BUSINESS,Connecticut,Landing Roll,none,Some Cloud,Herring gull,Y,0,0.0
237263,CHARLOTTE/DOUGLAS INTL ARPT,> 1000 ft,A-320,1,none,2004-10-10,No damage,US AIRWAYS,North Carolina,Climb,none,No Cloud,Unknown bird - medium,N,0,6000.0
230240,PHOENIX-MESA GATEWAY,< 1000 ft,C-500,1,Precautionary Landing,2004-10-11,No damage,BUSINESS,Arizona,Approach,none,No Cloud,Unknown bird - medium,N,0,200.0
228381,KAHULUI ARPT,< 1000 ft,B-717-200,1,none,2004-10-11,No damage,HAWAIIAN AIR,Hawaii,Climb,none,No Cloud,Great frigatebird,Y,0,500.0
228862,INDIANAPOLIS INTL,< 1000 ft,CL-RJ100/200,1,none,2004-10-11,No damage,INDEPENDENCE AIR,Indiana,Take-off run,none,No Cloud,Killdeer,N,0,0.0
234105,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,B-737-800,1,none,2004-10-11,No damage,AMERICAN AIRLINES,Texas,Approach,none,No Cloud,Unknown bird - small,Y,0,300.0
233253,THEODORE FRANCIS GREEN STATE,> 1000 ft,A-321,1,none,2004-10-11,No damage,US AIRWAYS,Rhode Island,Approach,none,No Cloud,Unknown bird - medium,N,0,3000.0
229765,CHEFORNAK ARPT,< 1000 ft,C-207 SKYWAG,1,none,2004-10-11,Caused damage,HAGELAND AVIATION SERVICES,Alaska,Approach,none,No Cloud,Ptarmigans,N,3608,30.0
230004,SAN FRANCISCO INTL ARPT,> 1000 ft,B-767-200,1,none,2004-10-11,No damage,AMERICAN AIRLINES,California,Approach,none,No Cloud,Unknown bird - small,N,0,2000.0
231522,BRADLEY INTL,< 1000 ft,EMB-145,1,none,2004-10-12,No damage,TRANS STATES AIRLINES,Connecticut,Approach,none,No Cloud,Unknown bird - small,Y,0,1000.0
229192,TULSA INTL,< 1000 ft,MD-80,1,none,2004-10-12,No damage,AMERICAN AIRLINES,Oklahoma,Approach,none,Overcast,Chimney swift,N,0,500.0
233623,LOUISVILLE INTL ARPT,> 1000 ft,B-757-200,1,none,2004-10-12,No damage,UPS AIRLINES,Kentucky,Descent,none,No Cloud,Unknown bird - large,N,0,8500.0
