record_id,airport_name,altitude_bin,aircraft_model,wildlife_number_struck_actual,effect_impact_to_flight,flight_date,effect_indicated_damage,aircraft_airline,origin_state,phase_of_flight,conditions_precipitation,conditions_sky,wildlife_species,pilot_warned_of_wildlife,total_cost,feet_above_ground
202152,LAGUARDIA NY,> 1000 ft,B-737-400,32,Engine Shut Down,2000-11-23,Caused damage,US AIRWAYS,New York,Climb,none,No Cloud,Unknown bird - medium,N,30736,1500.0
208159,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-80,32,none,2001-07-25,Caused damage,AMERICAN AIRLINES,Texas,Landing Roll,none,Some Cloud,Rock pigeon,Y,0,0.0
207601,LAKEFRONT AIRPORT,< 1000 ft,C-500,32,none,2001-09-14,No damage,BUSINESS,Louisiana,Approach,none,No Cloud,European starling,N,0,50.0
215953,SEATTLE-TACOMA INTL,< 1000 ft,B-737-400,32,Precautionary Landing,2002-09-05,No damage,ALASKA AIRLINES,Washington,Climb,none,Some Cloud,European starling,Y,0,50.0
219878,NORFOLK INTL,< 1000 ft,CL-RJ100/200,32,none,2003-06-23,No damage,COMAIR AIRLINES,Virginia,Approach,none,No Cloud,European starling,N,0,50.0
218432,GUAYAQUIL/S BOLIVAR,< 1000 ft,A-300,32,none,2003-07-24,No damage,AMERICAN AIRLINES,California,Take-off run,none,No Cloud,Unknown bird - small,N,0,0.0
221697,NEW CASTLE COUNTY,< 1000 ft,LEARJET-25,32,Other,2003-08-17,Caused damage,BUSINESS,Delaware,Climb,none,No Cloud,European starling,N,1481711,150.0
236635,WASHINGTON DULLES INTL ARPT,< 1000 ft,A-320,32,Other,2006-03-01,Caused damage,UNITED AIRLINES,DC,Approach,none,Some Cloud,European starling,Y,1483141,100.0
207369,ATLANTA INTL,< 1000 ft,DC-9-30,9,Aborted Take-off,2000-01-06,No damage,AIRTRAN AIRWAYS,Georgia,Take-off run,none,Some Cloud,Rock pigeon,N,0,0.0
204371,ORLANDO SANFORD INTL AIRPORT,< 1000 ft,A-330,4,none,2000-01-07,No damage,AIRTOURS INTL,Florida,Landing Roll,none,Some Cloud,Unknown bird - small,N,0,0.0
201589,ONTARIO INTL ARPT,< 1000 ft,A-320,3,none,2000-01-08,No damage,AMERICA WEST AIRLINES,California,Approach,none,Some Cloud,Rock pigeon,N,0,200.0
205958,CHICAGO O'HARE INTL ARPT,> 1000 ft,FOKKER F100,9,none,2000-01-20,Caused damage,AMERICAN AIRLINES,Illinois,Approach,none,No Cloud,Canada goose,N,0,1700.0
200220,GROTON-NEW LONDON AR,< 1000 ft,C-421,2,none,2000-01-30,No damage,BUSINESS,Connecticut,Landing Roll,none,Overcast,Unknown bird - small,N,0,0.0
200219,SPIRIT OF ST LOUIS,> 1000 ft,C-560,2,none,2000-01-30,No damage,EXECUTIVE JET AVIATION,Missouri,Approach,Snow,Overcast,Unknown bird - small,N,0,1800.0
203756,THEODORE FRANCIS GREEN STATE,< 1000 ft,B-737-200,5,none,2000-01-30,No damage,US AIRWAYS,Rhode Island,Approach,none,No Cloud,European starling,N,0,50.0
204061,KANSAS CITY INTL,< 1000 ft,MD-80,5,none,2000-02-01,No damage,TRANS WORLD AIRLINES,Missouri,Approach,none,Some Cloud,Snow goose,Y,0,500.0
202604,LIHUE ARPT,< 1000 ft,DC-9-50,9,none,2000-02-11,No damage,HAWAIIAN AIR,Hawaii,Take-off run,none,No Cloud,Black-headed munia,Y,0,0.0
201044,PHOENIX SKY HARBOR,< 1000 ft,B-737,9,none,2000-02-12,No damage,AMERICA WEST AIRLINES,Arizona,Landing Roll,none,Overcast,Rock pigeon,N,0,0.0
202254,NASHVILLE INTL,< 1000 ft,B-737-400,5,none,2000-02-18,No damage,US AIRWAYS,Tennessee,Climb,none,Some Cloud,European starling,N,0,800.0
205346,JIM HAMILTON L B OWENS ARPT,< 1000 ft,C-560,6,none,2000-02-23,Caused damage,BUSINESS,South Carolina,Climb,none,Some Cloud,Rock pigeon,N,0,500.0
201610,CHICAGO O'HARE INTL ARPT,> 1000 ft,B-737-300,7,none,2000-02-25,No damage,UNITED AIRLINES,Illinois,Climb,Fog,Overcast,Unknown bird - medium,N,0,5000.0
202454,WASHINGTON DULLES INTL ARPT,> 1000 ft,B-737-200,7,Precautionary Landing,2000-02-29,No damage,DELTA AIR LINES,DC,Climb,none,No Cloud,Ring-billed gull,Y,0,1500.0
201013,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,B-737-400,4,none,2000-02-29,No damage,AIR TRANSAT,Florida,Landing Roll,none,Some Cloud,Sandhill crane,Y,0,0.0
205771,ABERDEEN REGIONAL AR,> 1000 ft,SAAB-340,8,none,2000-03-04,No damage,MESABA AIRLINES,South Dakota,Climb,none,Some Cloud,Unknown bird - small,N,0,2000.0
202226,NEWARK LIBERTY INTL ARPT,< 1000 ft,MD-82,5,none,2000-03-06,No damage,CONTINENTAL AIRLINES,New Jersey,Landing Roll,none,No Cloud,Unknown bird - small,Y,0,0.0
204404,ASPEN-PITKIN CO/SARD,< 1000 ft,HAWKER 800,3,none,2000-03-06,No damage,EXECUTIVE JET AVIATION,Colorado,Approach,none,No Cloud,Unknown bird - small,N,8600,20.0
202138,ROCHESTER INTL,< 1000 ft,FOKKER F28 MK 1000,4,Precautionary Landing,2000-03-06,No damage,AMERICAN AIRLINES,Minnesota,Climb,none,No Cloud,Unknown bird - small,N,0,200.0
201983,MINNEAPOLIS-ST PAUL INTL,< 1000 ft,B-757-200,4,none,2000-03-07,No damage,NORTHWEST AIRLINES,Minnesota,Approach,Rain,Overcast,Unknown bird - small,N,0,75.0
200247,PUEBLO MEMORIAL ARPT,< 1000 ft,HAWKER 800,5,none,2000-03-11,No damage,BUSINESS,Colorado,Approach,none,No Cloud,Western meadowlark,N,0,10.0
201387,WESTCHESTER COUNTY ARPT,< 1000 ft,EMB-135,5,none,2000-03-13,No damage,CONTINENTAL AIRLINES,New York,Climb,none,No Cloud,Ring-billed gull,Y,0,10.0
200542,BIRMINGHAM-SHUTTLESWORTH INTL,> 1000 ft,DC-9-40,6,none,2000-03-13,No damage,ABX AIR,Alabama,Descent,none,No Cloud,Unknown bird - small,N,0,5000.0
202076,ATLANTA INTL,< 1000 ft,DC-9-30,8,none,2000-03-14,No damage,AIRTRAN AIRWAYS,Georgia,Approach,none,No Cloud,Mallard,N,0,1000.0
204836,LAGUARDIA NY,> 1000 ft,B-727-200,10,none,2000-03-15,Caused damage,DELTA AIR LINES,New York,Approach,none,No Cloud,Unknown bird - medium,N,0,1300.0
203390,TAHITI FAAA,< 1000 ft,DC-10-30,7,none,2000-03-15,Caused damage,HAWAIIAN AIR,California,Landing Roll,none,Some Cloud,Unknown bird - medium,N,0,0.0
203936,ORLANDO INTL,< 1000 ft,SAAB-340,9,Aborted Take-off,2000-03-18,No damage,AMERICAN EAGLE AIRLINES,Florida,Take-off run,none,Some Cloud,Ring-billed gull,Y,0,0.0
203938,MYRTLE BEACH INTL,< 1000 ft,B-737,8,none,2000-03-22,Caused damage,US AIRWAYS,South Carolina,Landing Roll,none,Some Cloud,Turkey vulture,N,0,0.0
200130,MINNEAPOLIS-ST PAUL INTL,< 1000 ft,DC-9-10,5,Engine Shut Down,2000-03-23,Caused damage,NORTHWEST AIRLINES,Minnesota,Climb,none,Overcast,Tundra swan,Y,35146,800.0
201705,LAFAYETTE REGIONAL (LA),< 1000 ft,SAAB-340,3,none,2000-03-23,No damage,AMERICAN EAGLE AIRLINES,Louisiana,Climb,none,No Cloud,Unknown bird - small,Y,0,1000.0
201770,CLEVELAND-HOPKINS INTL ARPT,> 1000 ft,EMB-145,6,none,2000-03-25,No damage,EXPRESSJET CONTINENTAL EXPRS,Ohio,Approach,none,No Cloud,Unknown bird - small,N,0,1500.0
201506,WASHINGTON DULLES INTL ARPT,< 1000 ft,B-737-300,10,none,2000-04-01,No damage,US AIRWAYS,DC,Approach,none,No Cloud,Unknown bird - small,N,0,1000.0
201524,SAN FRANCISCO INTL ARPT,< 1000 ft,B-747-1/200,9,none,2000-04-02,No damage,NORTHWEST AIRLINES,California,Take-off run,none,No Cloud,Unknown bird - small,Y,0,0.0
207027,CENTRAL WISCONSIN ARPT,< 1000 ft,SAAB-340,2,none,2000-04-04,No damage,MESABA AIRLINES,Wisconsin,Approach,none,Some Cloud,Unknown bird - small,N,0,50.0
4064,BARKSDALE AIR FORCE BASE ARPT,< 1000 ft,B-52H,10,none,2000-04-06,No damage,MILITARY,Louisiana,Approach,none,No Cloud,Unknown bird or bat,Y,0,1000.0
202816,DETROIT METRO WAYNE COUNTY ARPT,< 1000 ft,DC-9,4,none,2000-04-08,Caused damage,US AIRWAYS,Michigan,Climb,none,Some Cloud,Unknown bird - medium,N,0,100.0
200828,MYRTLE BEACH INTL,< 1000 ft,DC-9,10,none,2000-04-09,No damage,AIRTRAN AIRWAYS,South Carolina,Climb,none,No Cloud,Unknown bird - small,N,0,100.0
203262,SAN FRANCISCO INTL ARPT,< 1000 ft,B-737-500,10,none,2000-04-12,No damage,UNITED AIRLINES,California,Approach,none,Some Cloud,Killdeer,Y,1336,50.0
200681,TOLEDO EXPRESS ARPT,< 1000 ft,CL-RJ100/200,3,Other,2000-04-13,Caused damage,COMAIR AIRLINES,Ohio,Landing Roll,none,Some Cloud,Canada goose,N,10691,0.0
202210,METRO OAKLAND INTL,< 1000 ft,B-737-700,2,none,2000-04-16,No damage,ALOHA AIRLINES,California,Landing Roll,none,Some Cloud,Western sandpiper,Y,1069,0.0
202062,BIRMINGHAM-SHUTTLESWORTH INTL,< 1000 ft,B-757-200,2,none,2000-04-21,No damage,DELTA AIR LINES,Alabama,Approach,none,No Cloud,Unknown bird - small,N,0,500.0
200155,BEVERLY MUNICIPAL ARPT,< 1000 ft,C-560,8,Aborted Take-off,2000-04-25,No damage,BUSINESS,Massachusetts,Take-off run,none,Some Cloud,Wild turkey,N,0,0.0
202836,TED STEVENS ANCHORAGE INTL,> 1000 ft,B-747-400,8,none,2000-04-26,Caused damage,ATLAS AIR,Alaska,Descent,none,No Cloud,Canada goose,Y,0,3500.0
204057,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,FOKKER F100,6,none,2000-04-28,No damage,US AIRWAYS,North Carolina,Approach,Rain,Overcast,Unknown bird - small,N,0,1000.0
201230,TED STEVENS ANCHORAGE INTL,< 1000 ft,B-757-200,3,none,2000-04-29,No damage,DELTA AIR LINES,Alaska,Approach,none,Overcast,Lapland longspur,Y,0,30.0
205954,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,> 1000 ft,CL-RJ100/200,10,none,2000-04-30,No damage,COMAIR AIRLINES,Kentucky,Approach,none,No Cloud,Unknown bird - small,Y,0,2000.0
201585,GREATER PEORIA REGIONAL ARPT,> 1000 ft,BE-58  BARON,2,none,2000-05-03,No damage,PRIVATELY OWNED,Illinois,Approach,none,No Cloud,Unknown bird - small,N,0,1800.0
201990,INDIANAPOLIS INTL,< 1000 ft,DC-9-30,5,none,2000-05-03,No damage,US AIRWAYS,Indiana,Landing Roll,none,No Cloud,European starling,N,0,0.0
202887,SAN FRANCISCO INTL ARPT,< 1000 ft,B-737-500,7,none,2000-05-04,No damage,UNITED AIRLINES,California,Landing Roll,none,Some Cloud,Unknown bird - small,N,0,0.0
200068,LOUISVILLE INTL ARPT,< 1000 ft,B-767-300,5,none,2000-05-09,No damage,UPS AIRLINES,Kentucky,Approach,none,Overcast,Unknown bird - small,Y,0,75.0
209758,PORTLAND INTL (OR),< 1000 ft,DC-10,3,none,2000-05-10,No damage,FEDEX EXPRESS,Oregon,Landing Roll,none,Overcast,Mallard,Y,0,0.0
200785,STEWART INTL AIRPORT,< 1000 ft,FOKKER F100,4,none,2000-05-13,No damage,AMERICAN AIRLINES,New York,Climb,none,Some Cloud,Herring gull,N,0,50.0
201283,LOS ANGELES INTL,< 1000 ft,SAAB-340,7,Aborted Take-off,2000-05-15,Caused damage,AMERICAN EAGLE AIRLINES,California,Take-off run,none,Some Cloud,Rock pigeon,N,801820,0.0
7379,BARKSDALE AIR FORCE BASE ARPT,> 1000 ft,B-52H,9,none,2000-05-18,No damage,MILITARY,Louisiana,Approach,none,No Cloud,Cape May warbler,Y,0,1200.0
200893,BURKE LAKEFRONT,< 1000 ft,PA-31 NAVAJO,10,none,2000-05-19,No damage,BUSINESS,Ohio,Landing Roll,Rain,Overcast,Herring gull,Y,0,0.0
203391,PHILADELPHIA INTL,< 1000 ft,FOKKER F100,3,none,2000-05-23,No damage,AMERICAN AIRLINES,Pennsylvania,Approach,none,Overcast,Unknown bird - medium,Y,0,850.0
207700,METRO OAKLAND INTL,< 1000 ft,B-737-300,7,none,2000-05-28,No damage,UNITED AIRLINES,California,Climb,none,Some Cloud,Rock pigeon,Y,0,30.0
201771,CAPITAL CITY (MI),< 1000 ft,SAAB-340,7,none,2000-05-29,No damage,CHAUTAUQUA AIRLINES,Michigan,Take-off run,none,Some Cloud,Unknown bird - small,N,0,0.0
203389,CAPITAL (BEIJING),< 1000 ft,B-727,4,none,2000-05-29,No damage,DELTA AIR LINES,California,Approach,none,No Cloud,Unknown bird - small,Y,0,300.0
203333,PEASE INTL TRADEPORT,< 1000 ft,C-172,3,Precautionary Landing,2000-05-30,Caused damage,PRIVATELY OWNED,New Hampshire,Climb,none,Some Cloud,American crow,Y,0,1000.0
202886,SAVANNAH INTL,< 1000 ft,EMB-145,2,none,2000-06-01,No damage,EXPRESSJET CONTINENTAL EXPRS,Georgia,Take-off run,Fog,Overcast,Unknown bird - small,Y,0,0.0
201053,PHILADELPHIA INTL,< 1000 ft,A-320,10,none,2000-06-03,No damage,AMERICA WEST AIRLINES,Pennsylvania,Approach,none,No Cloud,Unknown bird - small,N,0,500.0
203804,WASHINGTON DULLES INTL ARPT,< 1000 ft,BA-31 JETSTR,9,none,2000-06-06,No damage,ATLANTIC COAST AIRLINES,DC,Approach,none,No Cloud,Unknown bird - small,N,0,150.0
202701,BURKE LAKEFRONT,< 1000 ft,LEARJET-35,3,none,2000-06-06,No damage,BUSINESS,Ohio,Landing Roll,none,Some Cloud,Ring-billed gull,Y,0,0.0
202151,HILO INTL ARPT,< 1000 ft,DC-9-50,10,none,2000-06-07,No damage,HAWAIIAN AIR,Hawaii,Landing Roll,none,Some Cloud,Common myna,N,0,0.0
205305,FORT LAUDERDALE/HOLLYWOOD INTL,< 1000 ft,MD-88,5,Precautionary Landing,2000-06-08,No damage,DELTA AIR LINES,Florida,Climb,none,Some Cloud,Unknown bird - small,Y,0,10.0
203483,DALLAS LOVE FIELD ARPT,< 1000 ft,B-737,2,none,2000-06-09,No damage,SOUTHWEST AIRLINES,Texas,Landing Roll,none,Overcast,Unknown bird - small,N,0,0.0
204287,LOGAN INTL,< 1000 ft,B-737-300,4,Precautionary Landing,2000-06-11,Caused damage,US AIRWAYS,Massachusetts,Climb,none,Overcast,Unknown bird - large,N,211146,800.0
200031,DENVER INTL AIRPORT,< 1000 ft,BE-1900,9,none,2000-06-12,No damage,GREAT LAKES AIRLINES,Colorado,Approach,none,No Cloud,Unknown bird - small,N,0,500.0
201214,SAVANNAH INTL,< 1000 ft,B-757-200,8,none,2000-06-14,No damage,DELTA AIR LINES,Georgia,Take-off run,none,No Cloud,Unknown bird - small,N,0,0.0
201505,KALAMAZOO/BATTLE CREEK INTL,< 1000 ft,CL-RJ100/200,7,none,2000-06-15,No damage,COMAIR AIRLINES,Michigan,Approach,none,Some Cloud,European starling,N,0,40.0
204115,NORFOLK INTL,< 1000 ft,IAI-1124,9,Precautionary Landing,2000-06-16,No damage,UNKNOWN,Virginia,Take-off run,none,Some Cloud,Unknown bird - medium,N,0,0.0
202139,GERALD R FORD INTL,< 1000 ft,DC-9-40,5,none,2000-06-20,No damage,NORTHWEST AIRLINES,Michigan,Landing Roll,Rain,Overcast,Red-winged blackbird,N,0,0.0
203968,INDIANAPOLIS INTL,< 1000 ft,B-757-200,2,none,2000-06-21,No damage,AMERICA WEST AIRLINES,Indiana,Landing Roll,none,Some Cloud,American kestrel,Y,0,0.0
202994,FORT SMITH MUNICIPAL ARPT,< 1000 ft,C-172,10,none,2000-06-25,No damage,BUSINESS,Arkansas,Approach,none,No Cloud,Unknown bird - small,N,0,20.0
202602,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,BE-1900,10,none,2000-06-25,No damage,EXPRESSJET CONTINENTAL EXPRS,Kentucky,Landing Roll,none,Some Cloud,European starling,Y,0,0.0
201414,MCCARREN INTL,> 1000 ft,B-727,8,none,2000-06-26,No damage,ATA AIRLINES,Nevada,Climb,none,Overcast,Unknown bird - medium,N,0,5100.0
203143,ATLANTA INTL,< 1000 ft,BA-31 JETSTR,5,none,2000-06-27,Caused damage,BUSINESS,Georgia,Landing Roll,none,Some Cloud,Unknown bird - medium,N,40091,0.0
203243,HESLER-NOBLE FIELD ARPT,< 1000 ft,LEARJET-31,3,Precautionary Landing,2000-06-28,Caused damage,BUSINESS,Mississippi,Climb,none,No Cloud,Unknown bird - medium,N,0,100.0
204609,CHICAGO O'HARE INTL ARPT,< 1000 ft,CL-RJ100/200,5,Aborted Take-off,2000-06-29,No damage,AIR WISCONSIN AIRLINES,Illinois,Take-off run,none,No Cloud,Unknown bird - small,Y,0,0.0
201335,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,C-402,6,Aborted Take-off,2000-06-30,No damage,CAPE AIR,Florida,Take-off run,none,Some Cloud,Killdeer,Y,0,0.0
202613,PENSACOLA REGIONAL,< 1000 ft,SHORTS SC7,5,none,2000-07-06,No damage,UNKNOWN,Florida,Climb,none,No Cloud,Unknown bird - small,N,0,20.0
200807,PHILADELPHIA INTL,< 1000 ft,MD-88,4,none,2000-07-07,No damage,DELTA AIR LINES,Pennsylvania,Approach,none,No Cloud,Unknown bird - small,Y,0,100.0
202419,BALTIMORE WASH INTL,< 1000 ft,B-757-200,6,none,2000-07-07,No damage,UNITED AIRLINES,Maryland,Climb,none,Some Cloud,Mourning dove,Y,0,100.0
200696,SAN FRANCISCO INTL ARPT,< 1000 ft,B-737-800,3,none,2000-07-10,No damage,CONTINENTAL AIRLINES,California,Climb,none,No Cloud,Rock pigeon,Y,0,10.0
200108,WASHINGTON DULLES INTL ARPT,< 1000 ft,A-319,2,none,2000-07-10,No damage,UNITED AIRLINES,DC,Landing Roll,none,No Cloud,Unknown bird - medium,Y,0,0.0
203355,LAURENCE G HANSCOM,< 1000 ft,CITATION II,9,none,2000-07-10,No damage,BUSINESS,Massachusetts,Landing Roll,none,Some Cloud,Unknown bird - small,N,334,0.0
202117,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,ATR-72,9,none,2000-07-11,No damage,ATLANTIC SOUTHEAST,Florida,Landing Roll,none,Some Cloud,Mourning dove,Y,0,0.0
202204,BIRMINGHAM-SHUTTLESWORTH INTL,< 1000 ft,B-737-300,3,none,2000-07-12,No damage,SOUTHWEST AIRLINES,Alabama,Landing Roll,none,Some Cloud,Unknown bird - medium,Y,0,0.0
205917,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,ATR-72,6,none,2000-07-15,No damage,ATLANTIC SOUTHEAST,Florida,Landing Roll,none,No Cloud,Mourning dove,Y,0,0.0
204602,SUVA FIJI,< 1000 ft,A-320,5,none,2000-07-16,No damage,TRANSMERIDIAN AIRLINES,California,Approach,none,No Cloud,Unknown bird - small,N,0,100.0
205350,OXNARD ARPT,< 1000 ft,C-172,4,none,2000-07-17,No damage,PRIVATELY OWNED,California,Approach,none,No Cloud,Unknown bird - small,N,0,100.0
203335,PORTLAND INTL (OR),< 1000 ft,B-737-500,7,none,2000-07-18,No damage,UNITED AIRLINES,Oregon,Landing Roll,none,Overcast,American crow,Y,0,0.0
204308,MORRISTOWN MUNICIPAL ARPT,< 1000 ft,DA-20 FALCON,3,none,2000-07-19,No damage,BUSINESS,New Jersey,Take-off run,Rain,Some Cloud,European starling,Y,0,0.0
200758,LOUISVILLE INTL ARPT,< 1000 ft,B-737-200,2,none,2000-07-20,No damage,US AIRWAYS,Kentucky,Climb,none,No Cloud,Unknown bird - medium,N,0,20.0
204677,LOUISVILLE INTL ARPT,< 1000 ft,B-737-200,4,none,2000-07-21,No damage,US AIRWAYS,Kentucky,Landing Roll,Rain,Overcast,Mourning dove,N,0,0.0
205312,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,SAAB-340,4,Aborted Take-off,2000-07-21,No damage,AMERICAN EAGLE AIRLINES,Texas,Take-off run,none,Some Cloud,Western meadowlark,N,0,0.0
206984,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,ATR-72,6,none,2000-07-22,No damage,ATLANTIC SOUTHEAST,Florida,Take-off run,none,Some Cloud,Mourning dove,Y,0,0.0
203849,TRENTON MERCER ARPT,< 1000 ft,BE-400 BJET,8,none,2000-07-22,No damage,BUSINESS,New Jersey,Climb,none,No Cloud,European starling,Y,0,350.0
203187,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,CL-RJ100/200,8,none,2000-07-23,No damage,COMAIR AIRLINES,Kentucky,Take-off run,none,No Cloud,Eastern meadowlark,Y,0,0.0
205741,PORTLAND INTL (OR),< 1000 ft,C-402,7,none,2000-07-24,No damage,AMERIFLIGHT,Oregon,Approach,none,No Cloud,European starling,Y,0,200.0
203630,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,SAAB-340,9,none,2000-07-28,No damage,PINNACLE,Florida,Climb,none,Some Cloud,Mourning dove,N,0,50.0
203455,TETERBORO AIRPORT,< 1000 ft,DA-2000,5,none,2000-07-28,No damage,BUSINESS,New Jersey,Take-off run,none,Overcast,European starling,N,0,0.0
202567,SANFORD REGIONAL ARPT,< 1000 ft,HAWKER-SDLY HS125,4,none,2000-07-28,No damage,BUSINESS,Maine,Approach,none,Some Cloud,Unknown bird - small,N,0,50.0
202382,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,C-560,8,none,2000-07-30,No damage,BUSINESS,Florida,Landing Roll,none,Some Cloud,Mourning dove,N,0,0.0
200793,NEWARK LIBERTY INTL ARPT,< 1000 ft,A-300,9,none,2000-08-04,No damage,AMERICAN AIRLINES,New Jersey,Landing Roll,none,No Cloud,Mallard,N,0,0.0
205461,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,SAAB-340,10,none,2000-08-05,No damage,AMERICAN EAGLE AIRLINES,Texas,Landing Roll,none,No Cloud,Mourning dove,N,0,0.0
203512,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,B-767,7,none,2000-08-06,No damage,DELTA AIR LINES,Kentucky,Approach,none,Overcast,Mourning dove,Y,0,100.0
201322,MEMPHIS INTL,< 1000 ft,B-737-300,9,Aborted Take-off,2000-08-06,Caused damage,UNITED AIRLINES,Tennessee,Take-off run,none,Some Cloud,Rock pigeon,N,0,0.0
203160,GREATER ROCHESTER INTL,< 1000 ft,A-319,6,none,2000-08-06,No damage,AMERICAN AIRLINES,New York,Take-off run,Rain,Overcast,Upland sandpiper,N,0,0.0
201114,BALTIMORE WASH INTL,< 1000 ft,B-737-300,6,none,2000-08-06,No damage,US AIRWAYS,Maryland,Landing Roll,Rain,Overcast,Unknown bird - small,Y,0,0.0
202199,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,SAAB-340,10,Aborted Take-off,2000-08-08,Caused damage,PINNACLE,Florida,Take-off run,none,No Cloud,Mourning dove,N,0,0.0
201407,BIRMINGHAM-SHUTTLESWORTH INTL,< 1000 ft,FOKKER F100,7,none,2000-08-08,No damage,US AIRWAYS,Alabama,Landing Roll,none,No Cloud,American crow,Y,0,0.0
200672,BIRMINGHAM-SHUTTLESWORTH INTL,< 1000 ft,B-737-300,4,none,2000-08-09,No damage,SOUTHWEST AIRLINES,Alabama,Approach,Rain,Some Cloud,Unknown bird - medium,N,0,100.0
208831,SAINT HUBERT,< 1000 ft,HAWKER 1000,7,none,2000-08-10,No damage,EXECUTIVE JET AVIATION,Quebec,Landing Roll,none,No Cloud,Unknown bird - medium,N,0,0.0
201896,RALEIGH-DURHAM INTL,< 1000 ft,B-727-200,10,Aborted Take-off,2000-08-10,No damage,AMERICAN AIRLINES,North Carolina,Take-off run,none,Some Cloud,Canada goose,N,0,0.0
204264,DUPAGE AIRPORT,< 1000 ft,C-172,5,none,2000-08-12,No damage,BUSINESS,Illinois,Climb,none,No Cloud,Unknown bird - small,N,0,150.0
204225,DUPAGE AIRPORT,< 1000 ft,PA-28,6,none,2000-08-12,No damage,PRIVATELY OWNED,Illinois,Approach,none,Some Cloud,Unknown bird - small,N,0,100.0
202482,DALLAS LOVE FIELD ARPT,> 1000 ft,CL-RJ100/200,5,none,2000-08-13,No damage,ATLANTIC SOUTHEAST,Texas,Approach,none,No Cloud,Unknown bird - small,N,0,2500.0
202464,ROANOKE REGIONAL,< 1000 ft,BE-23 SUNDOWNER,10,none,2000-08-14,No damage,BUSINESS,Virginia,Landing Roll,none,No Cloud,Mourning dove,N,0,0.0
200732,LOUISVILLE INTL ARPT,< 1000 ft,B-737-300,10,none,2000-08-16,No damage,US AIRWAYS,Kentucky,Landing Roll,none,No Cloud,Mourning dove,N,0,0.0
208561,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,BELL-206,7,none,2000-08-16,No damage,SOUTHWEST AIRLINES,Louisiana,Approach,none,No Cloud,Rock pigeon,N,0,50.0
203380,EL PASO INTL ARPT,< 1000 ft,B-737-300,5,none,2000-08-18,No damage,SOUTHWEST AIRLINES,Texas,Approach,none,Some Cloud,Unknown bird - small,N,0,100.0
200698,NEWARK LIBERTY INTL ARPT,< 1000 ft,B-737-500,7,none,2000-08-19,No damage,CONTINENTAL AIRLINES,New Jersey,Approach,none,Some Cloud,Unknown bird - small,N,0,30.0
200664,NEWARK LIBERTY INTL ARPT,< 1000 ft,B-727-200,6,none,2000-08-20,No damage,AMERICAN AIRLINES,New Jersey,Landing Roll,none,Some Cloud,Rock pigeon,Y,0,0.0
200794,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,BE-400 BJET,8,none,2000-08-21,No damage,BUSINESS,Florida,Climb,none,Some Cloud,Mourning dove,Y,0,40.0
204415,PALM BEACH INTL,< 1000 ft,BE-1900,6,Precautionary Landing,2000-08-21,No damage,BUSINESS,Florida,Take-off run,none,Some Cloud,Unknown bird - small,Y,0,0.0
207534,LEWISTON-NEZ PERCE CO ARPT,< 1000 ft,DHC8 DASH 8,7,none,2000-08-22,No damage,HORIZON AIR,Idaho,Approach,none,No Cloud,Unknown bird - small,N,0,5.0
201872,GERALD R FORD INTL,< 1000 ft,A-319,7,none,2000-08-23,No damage,NORTHWEST AIRLINES,Michigan,Approach,none,Some Cloud,Unknown bird - small,Y,0,25.0
204521,PHILADELPHIA INTL,< 1000 ft,B-747-1/200,2,Aborted Take-off,2000-08-23,Caused damage,EVERGREEN INTL AIRLINES,Pennsylvania,Take-off run,none,Overcast,Canada goose,Y,0,0.0
201139,BLOOMINGTON/NORMAL,< 1000 ft,BE-90  KING,2,Aborted Take-off,2000-08-23,No damage,BUSINESS,Illinois,Take-off run,none,Some Cloud,Mourning dove,N,0,0.0
200375,BLOOMINGTON/NORMAL,< 1000 ft,SAAB-340,8,Aborted Take-off,2000-08-23,No damage,MESABA AIRLINES,Illinois,Take-off run,none,Some Cloud,Mourning dove,Y,0,0.0
205933,INDIANAPOLIS REGIONAL ARPT,< 1000 ft,HAWKER 1000,9,none,2000-08-24,No damage,BUSINESS,Indiana,Approach,none,No Cloud,Unknown bird - small,N,0,10.0
202578,JACKSON EVERS INTL,< 1000 ft,B-737-300,8,none,2000-08-25,No damage,SOUTHWEST AIRLINES,Mississippi,Climb,none,No Cloud,Unknown bird - small,Y,0,300.0
